Beijing Diqi Yinxiang Entertainment,5.77
Nelvana,5.74
Edko Films,5.72
Suburban Pictures,5.71
Treehouse Pictures,5.71
Double Dare You (DDY),5.71
Allison Shearmur Productions,5.71
Embassy Pictures,5.64
Origin Pictures,5.6
Fingerprint Releasing,5.6
Waverly Films,5.56
A24,5.54
Fairview Entertainment,5.52
IPC Films,5.5
Maljack Productions,5.49
Cre Film,5.49
"Jackson/McHenry Company,The",5.47
Cohen Media Group,5.46
Oriental Light and Magic (OLM),5.45
Voltage Pictures,5.41
Headline Pictures,5.41
Walden Media,5.4
Marvel Studios,5.4
Summit Entertainment,5.39
Bull's Eye Entertainment,5.33
Twentieth Century Fox Animation,5.3
Warner Bros. Family Entertainment,5.28
Mediapro,5.28
Syncopy,5.27
Columbia Pictures Film Production Asia,5.24
American Entertainment Partners II L.P.,5.22
DJ Films,5.21
Kanun parvaresh fekri,5.19
It's a Laugh Productions,5.18
The Family Stone,5.16
Fifth Avenue Entertainment,5.13
Winwood Productions,5.1
Fuzzy Bunny Films (I),5.1
Participant,5.09
Avnet/Kerner Productions,5.08
Hell's Kitchen Films,5.06
Show East,5.06
Disney Television Animation,5.05
Red Crown Productions,5.04
Black Bear Pictures,5.04
Intrepid Pictures,5.01
CalMaple,4.98
Studio Ghibli,4.96
Guys Upstairs,4.94
Heat GBR,4.92
Am Psycho Productions,4.9
Gotham Group,4.88
Cinema '84,4.87
Bold Films,4.85
Cannon Films,4.83
Victor & Grais,4.83
Blue Sky Studios,4.83
Pixar Animation Studios,4.82
Screen Gems,4.8
MFF Feature Film Productions,4.8
Apatow Productions,4.8
25th Hour Productions,4.79
Prana Studios,4.79
Handprint Entertainment,4.69
StudioCanal,4.65
Electric City Entertainment,4.62
Gordon Company,4.6
Parkes/Lasker productions,4.58
Fogwood Films,4.57
Groundswell Productions,4.55
Raffaella De Laurentiis Productions,4.54
Renaissance Pictures,4.53
Golden Harvest Company,4.53
Unison Films,4.53
BenderSpink,4.49
Point Grey Pictures,4.48
Haishang Films,4.47
4 Kids Entertainment,4.46
Mandeville Films,4.45
Paramount Vantage,4.45
Fermion Films,4.45
Seventh Avenue Films,4.43
AI-Film,4.43
Estudios Picasso,4.41
Mediaset España,4.4
Egg Pictures,4.35
Huayi Brothers Media,4.35
Overnight Films,4.33
Lava Bear Films,4.33
Compulsion Inc.,4.32
Candyman Films,4.3
Star Overseas,4.28
Cannon Films Inc.,4.27
BBL Motion Picture Studios,4.26
Duplass Brothers Productions,4.24
Sunn Classic Pictures,4.23
Aardman Animations,4.22
Wild Bunch,4.22
Jolie Pas,4.21
Marvel Entertainment,4.2
Working Title Films,4.18
Danmarks Radio (DR),4.17
Universal Pictures,4.16
The Weinstein Company,4.16
SLM Production Group,4.13
Brownstone Entertainment (II),4.12
DNA Films,4.07
CBS Films,4.07
Paramount Pictures,4.05
Imperial Entertainment Corporation,4.05
Island World,4.03
Unity Productions,4.01
Kings Road Entertainment,4.01
Flashlight Films,4.01
Acacia Filmed Entertainment,4.0
Butcher's Run Films,3.97
Entertainment Studios Motion Pictures,3.97
IAC Films,3.96
Animal Kingdom,3.95
Big Beach Films,3.94
Red Granite Pictures,3.92
Legendary Entertainment,3.92
Walt Disney Pictures,3.91
The Geffen Company,3.89
Légende Films,3.87
Film 44,3.87
Chickie the Cop,3.85
Closest to the Hole Productions,3.84
Filmation Associates,3.83
RatPac-Dune Entertainment,3.82
Chris Morgan Productions,3.8
Cecchi Gori Group Tiger Cinematografica,3.79
Hemdale,3.78
Danjaq,3.78
Astoria Films,3.76
Don Simpson/Jerry Bruckheimer Films,3.74
The Tyler Perry Company,3.74
C.H.U.D. Productions,3.72
Mace Neufeld Productions,3.72
Samuels Media,3.72
Steve White Productions,3.71
Columbia Pictures,3.69
Zazen Produções,3.69
Constantin Film International,3.69
Crystalite Productions,3.68
Paragon Arts International,3.68
Robert Simonds Productions,3.67
Alcon Entertainment,3.67
98 MPH Productions,3.67
Millennium Media,3.67
The Mount Company,3.65
DreamWorks Animation,3.65
Focus Features,3.63
Rastar Pictures,3.6
B24,3.59
Havoc,3.58
Fade to Black Productions,3.57
Sony Pictures Animation,3.57
Tartan Productions,3.56
Visiona Romantica,3.56
Hartbeat Productions,3.56
Unplanned Movie,3.56
