star,hit rate,작품개수
Billy Crudup,0.3433868807352941,4
Billy Crystal,3.4673779130925833,8
Billy Zane,1.0036024,2
Björk,3.129661875,1
Blake Jenner,0.4644472,1
Blake Lively,3.2183543270588237,3
Blanchard Ryan,109.366974,1
Blayne Weaver,5.75609905,1
Blythe Danner,0.6643301666666667,1
Bo Derek,3.4494910604395606,2
Bob Geldof,1.85548025,1
Bob Hoskins,2.5736119842261904,2
Bob Newhart,0.9310487,1
Bobcat Goldthwait,0.08221642857142857,1
Boyd Holbrook,1.8243424318181818,1
Brad Garrett,4.1581739,1
Brad Johnson,0.000594,1
Brad Pitt,2.444017701662169,24
Bradley Cooper,4.753238388628059,9
Bradley Gregg,0.47305673076923077,1
Brandon Lee,1.8198484934782608,2
Brandon Quintin Adams,5.224525666666667,1
Brandon Routh,1.4484488592592593,1
Breckin Meyer,3.929519085,4
Brenda Blethyn,2.874133,1
Brendan Fraser,1.943060400875634,15
Brendan Gleeson,3.2603173333333335,1
Brenton Thwaites,1.468138541904762,3
Brett Dalton,1.1541775,1
Brian Benben,0.087791,1
Brian Bosworth,0.538346294117647,1
Brian Cox,1.8439545870535714,2
Brian Dennehy,0.12762408333333333,1
Brian Kerwin,0.471122,1
Brian Krause,1.1451218272727273,2
Brian O'Halloran,61.052876659259255,2
Briana Evigan,2.1764896,1
Bridget Fonda,2.3129782982142855,2
Brie Larson,4.076795724430199,3
Brit Marling,9.916362076923077,2
Britney Spears,5.095085833333333,1
Brittany Murphy,1.4302265357142858,2
Brittany Snow,2.8598938,1
Brooke Adams,0.095,1
Brooke Shields,3.2853730319318184,4
Brooklynn Prince,5.485649,1
Bruce Campbell,3.094480455266955,4
Bruce Dern,2.306906,1
Bruce Greenwood,0.065550375,1
Bruce Ramsay,2.3342215,1
Bruce Willis,2.5339112056959534,34
Bruno Lawrence,2.123135,1
Bryan Brown,1.1687197886178862,3
Bryan Cranston,0.7561992261904762,2
Bryce Dallas Howard,1.1291134721560132,2
Bubba Smith,0.96393475,1
Burt Lancaster,1.1041362833333335,2
Burt Reynolds,1.3383893780774045,11
Bérénice Bejo,1.1521329090909092,1
C. Thomas Howell,2.5697647,1
Cameron Diaz,4.93045018754705,10
Camilla Belle,2.187433662030075,4
Carey Mulligan,2.881650704761905,2
Carice van Houten,1.2746934761904762,1
Carl Weathers,2.8938535714285716,1
Carlo Cecchi,0.5566171666666667,1
Carlos Alazraqui,4.78517424,1
Carlos Gallardo,291.56,1
Carmen Electra,1.7408412,1
Carmen Maura,10.375898571428571,1
Carolyn Farina,12.871704347826087,1
Cary Elwes,23.144923260416668,4
Casey Affleck,5.967332372063493,5
Casey Siemaszko,0.6143103333333333,1
Casper Van Dien,1.154422638095238,1
Cassandra Peterson,0.7461689333333333,1
Catalina Sandino Moreno,4.19821,1
Cate Blanchett,2.599615304607298,11
Catherine Hicks,4.910742666666667,1
Catherine Keener,18.711408,1
Catherine Mary Stewart,20.59846,1
Catherine McCormack,0.29461940625,2
Catherine O'Hara,0.49380308333333334,1
Catherine Zeta-Jones,3.3071803571428573,1
