0,1
Alejandro Amenábar,6.46
Tate Taylor,6.46
Joel Edgerton,6.44
Amy Holden Jones,6.43
Patty Jenkins,6.42
Charles Herman-Wurmfeld,6.39
Yorgos Lanthimos,6.39
David Kerr,6.36
Chris Stokes,6.32
Mike Gabriel,6.29
Martin Brest,6.27
Kirk Jones,6.26
Ken Marino,6.25
Zach Braff,6.23
Gareth Edwards,6.23
Carlos Saldanha,6.22
Rob McKittrick,6.21
Mick Jackson,6.2
Kevin Greutert,6.2
Jafar Panahi,6.17
Colin Higgins,6.16
Stella Meghie,6.16
Leonard Nimoy,6.12
Ole Bornedal,6.1
Susan Seidelman,6.09
Masayuki Ochiai,6.07
Jamie Uys,6.01
Josh Trank,5.97
Charlie McDowell,5.97
Je-kyu Kang,5.96
Ron Clements,5.92
Joseph Zito,5.91
John Carl Buechler,5.91
Igor Kovalyov,5.87
Steve Martino,5.86
Jon Lucas,5.85
Robert Vincent O'Neil,5.83
Paul Haggis,5.83
Colin Trevorrow,5.83
Hu Guan,5.77
Robin Budd,5.76
Alejandro G. Iñárritu,5.71
Tom Gormican,5.71
Boots Riley,5.68
John Lasseter,5.67
Whit Stillman,5.66
Andrew Douglas,5.66
Alfonso Cuarón,5.65
Daniel Stern,5.65
Rawson Marshall Thurber,5.62
Mark DiSalle,5.61
Nisha Ganatra,5.6
Genndy Tartakovsky,5.59
Taika Waititi,5.59
Diederik Van Rooijen,5.59
Max Joseph,5.56
Gene Stupnitsky,5.55
Hugh Wilson,5.53
John Madden,5.52
Justin Lin,5.52
Paris Barclay,5.51
David Yarovesky,5.48
Sam Mendes,5.46
Courtney Hunt,5.46
Kunihiko Yuyama,5.45
Seth MacFarlane,5.45
Sylvester Stallone,5.42
Paul King,5.42
Dustin Hoffman,5.41
Steve Barron,5.4
Danny Boyle,5.4
Kevin Kölsch,5.39
Ben Lewin,5.37
Josh Cooley,5.37
John Erick Dowdle,5.36
Ciarán Foy,5.33
Adam Marcus,5.31
Peter Hedges,5.31
Chuck Russell,5.29
Rian Johnson,5.29
Nat Faxon,5.29
Garth Jennings,5.28
Marc Webb,5.28
Gonzalo López-Gallego,5.25
Michael Gracey,5.21
Majid Majidi,5.19
Ice Cube,5.17
Jesse Peretz,5.16
Jennifer Kent,5.16
Olivier Megaton,5.14
Jason Moore,5.14
Ivan Reitman,5.12
Doug Liman,5.1
Anthony Russo,5.09
David Yates,5.09
Andrew Adamson,5.08
Anne Fletcher,5.08
Robert Zemeckis,5.06
J.B. Rogers,5.04
Martin McDonagh,5.03
Gus Trikonis,5.02
Colin Strause,4.98
Jenny Gage,4.98
Lee Unkrich,4.97
Keenen Ivory Wayans,4.96
Ang Lee,4.95
Charles Martin Smith,4.93
Paul Nicholas,4.92
Jake Kasdan,4.92
Mary Harron,4.9
Gareth Evans,4.89
James L. Brooks,4.86
Paul Feig,4.86
